freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_EUR,S13,GF0106,TE,BE	102.5 	106.7 	85.1 	132.9 	125.0 	123.9 	117.4 
A,MIO_EUR,S13,GF0106,TE,BG	18.8 	17.5 	9.0 	0.3 	35.0 	0.6 	90.3 
A,MIO_EUR,S13,GF0106,TE,CH	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0106,TE,CY	15.7 	15.5 	15.8 	17.2 	17.6 	17.4 	18.6 
A,MIO_EUR,S13,GF0106,TE,CZ	254.2 	296.7 	330.6 	403.2 	397.7 	418.4 	418.9 
A,MIO_EUR,S13,GF0106,TE,DE	3516.0 	3630.0 	3910.0 	4164.0 	4607.0 p	5160.0 p	5222.0 p
A,MIO_EUR,S13,GF0106,TE,DK	3538.8 	2587.6 	2762.2 	3075.9 	2574.0 	3452.7 	3397.7 
A,MIO_EUR,S13,GF0106,TE,EA19	10424.7 	11126.2 	10754.7 	10509.4 	11800.8 	11591.9 	12314.8 
A,MIO_EUR,S13,GF0106,TE,EA20	10437.0 	11145.2 	10785.0 	10533.8 	11829.4 	11622.6 	12343.1 
A,MIO_EUR,S13,GF0106,TE,EE	11.0 	5.3 	9.0 	14.2 	12.2 	9.8 	14.3 
A,MIO_EUR,S13,GF0106,TE,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0106,TE,ES	353.0 	261.0 	49.0 	40.0 	576.0 	96.0 	98.0 p
A,MIO_EUR,S13,GF0106,TE,EU27_2020	14891.1 	14656.6 	14554.5 	14773.4 	15662.9 	16162.9 	16975.5 
A,MIO_EUR,S13,GF0106,TE,FI	11.0 	15.0 	20.0 	17.0 	32.0 	20.0 	27.0 
A,MIO_EUR,S13,GF0106,TE,FR	2166.0 	2643.0 	2455.0 	1867.0 	2123.0 	2075.0 p	2559.0 p
A,MIO_EUR,S13,GF0106,TE,HR	12.3 	19.0 	30.4 	24.3 	28.6 	30.8 	28.3 
A,MIO_EUR,S13,GF0106,TE,HU	114.2 	142.6 	164.7 	174.9 	230.8 	140.2 	225.8 
